post_class,title,comments
季後賽,[情報] 2018 HCT S3 APAC 冬季季後賽 結果,推 dichenfong  : SoBayed ㄚㄚㄚ我怎麼最低  01/27 17:47 推 hiyori9977  : 八強也算走的遠了==  01/27 17:47 推 drowsyPre   : 蒼汁是Aojiru 吧  01/27 17:47 推 lens82801   : 恭喜阿傑  01/27 17:49 → Jotarun     : 懶得列牌組了 不重要了XD  01/27 17:50 推 SiaoBen1996 : 撒旦：操 GivePLZ  01/27 17:51 推 Max7169     : 就是你沒po文，不然四強就我了  01/27 17:51 推 paul2chiu   : Bloodtrail 我早說阿傑一定行 Bloodtrail  01/27 17:55 推 secret970457: Bloodtrail 我早說阿傑一定行 Bloodtrail  01/27 18:04 推 kuonet      : 我現在回去翻三個圈 前面七輪真的是賽到不行  01/27 18:05 推 chung0817   : 西瓜村長帥氣反派  01/27 18:07 推 kuonet      : 除了Tansoku之外每輪都遇到控/反控  01/27 18:08 推 newbe2008   : 請問一下出國的沒獎金嗎?  01/27 18:18 推 limoncool   : 出國的應該是冠軍賽才會確定獎金金額吧  01/27 18:32 推 zaza1128    : 泰勒好強，牌組對觀念好，兩個月沒練一樣晉級  01/27 18:36 推 AterPin     : 兩個月沒玩還這麼猛喔 這次天選 還是投德國人好了  01/27 18:43 推 Nashih      : 撒旦不要：幹還我錢TT  01/27 19:10 推 freezesword : 錢差超多  01/27 19:40 推 tch0908     : 動哥出國77777777777  01/27 20:12 推 kohinata    : 台北人輸給小日本zzz  01/27 20:19 推 jordan0428  : 阿傑出海了啊  01/27 20:23 推 piyo0604    : 你怎麼會跟這個ID認真==  01/27 21:39
季後賽,Re: [情報] HCT 冬季季後賽 Roger 賽後簡訪,推 sid19881025 : 推! 01/27 17:34 推 bob1012     : 推 有些字聽不太懂  01/27 17:38 → hiyori9977  : 其實我也聽不太懂XD 01/27 17:39 推 zsefv333    : 推 01/27 17:42 推 Jotarun     : 講話聽不懂這點也要學起來 BloodTrail 01/27 17:44 推 gary360     : 我也覺得他有幾段講太快 聽不太懂XD 01/27 17:45 推 a43164910   : 內褲沒洗好太好笑了吧 01/27 17:49 推 SBIt        : 換一張就變自組的777777 01/27 17:53 推 leffyiscome : 換一張=自組 NICE喔 01/27 18:03 推 x19005      : 直接貼大哥的牌上去換一張變自組 01/27 18:05 推 KhePri      : 靠好近 KappaPride 01/27 18:10 推 orion1991830: 跟著大哥走 01/27 18:15 推 iamdemonic  : XDDDDDDDD 01/27 18:19 推 threshnccu  : HTC賽後訪問77777 01/27 18:22 推 secret970457: 跟著大哥走不會錯 01/27 18:30 推 Nashih      : 這文字稿怎麼有聲音 01/27 19:12 推 jackjack674 : 兄dei. 不配我們吃飯QQ 01/27 19:14 → jackjack674 : 陪 01/27 19:14 推 nwd4e9cd    : 要有小豪包膜啊 01/27 19:14 推 freezesword : HCT啦 01/27 19:49 推 jason751231 : 推 01/27 20:28 推 jack010101  : 完了 以後會不會有種聖騎要叫包膜聖了  01/27 22:42 → Jotarun     : 聖盾聖如果有紅的一天可能就會叫上面那個吧  01/27 22:49
季後賽,[情報] HCT 冬季季後賽 Roger 賽後簡訪,推 MinLu0714   : 我剛好外出hehe  01/27 16:51 推 j3052218    : 我請外出單 LUL  01/27 16:54 推 js2a117573  : 外出單三小  01/27 16:55 推 ging5566    : 壓力沒了幹話就出來了  01/27 16:56 推 ckh26       : 背叛西瓜村的辣個男人  01/27 16:58 推 Roystu      : 昨天內褲還沒乾 才4-2  01/27 17:00 推 Inlu0828    : 紅內褲 布拉德特羅爾~~  01/27 17:02 推 fisheryu0514: 內褲不用洗了，穿到出國  01/27 17:06 推 ShiaoJW     : 直接業配內褲  01/27 17:06 推 ok8752665   : 我愛阿傑我愛阿傑  01/27 17:09 推 S0323109    : 我就知道紅內褲一定行  01/27 17:10 推 pdf300ppi   : 西瓜村外出單 LUL  01/27 17:11 推 starian     : 穿著紅內褲出國麥香腸了!!!香腸元年!!  01/27 17:11 推 lukenigoo123: 阿傑阿傑得第一  01/27 17:12 推 ttff        : 拉久出國啦 ！！！  01/27 17:14 推 ernan0841   : 小豪包膜 XDD  01/27 17:15 推 cherarthur1 : 外出單跟內褲笑死XDDDD  01/27 17:17 推 secret970457: 外出單 LUL  回來帶一匹人來滅村  01/27 17:17 推 nwd4e9cd    : 繳牌5分鐘 開心  01/27 17:21 推 bco1227     : 跟著大哥走  01/27 17:25 推 dichenfong  : 西瓜村外出單  01/27 17:25 推 AsheGnar    : 祝你好好走 MingLee  01/27 17:33 推 q1239303    : 我就知道阿傑一定行  01/27 17:38 推 kunxue0320  : 還沒洗好 笑死  01/27 17:42 推 kikikinds   : 幹 紅內褲真的有差 過年打麻將也是必穿  01/27 18:57 推 peter82830  : 直接實況露紅內褲 過癮  01/27 19:03 推 hsiehhsing  : 真的翻內褲  01/27 20:12 推 cocoainbao  : 笑死  01/27 20:14 推 usoko       : 業配內褲 lol  01/27 20:50 推 zaza1128    : 紅內褲，笑死  01/27 21:46 推 pqio0819    : 讚  01/28 01:25 推 freezesword : 靠賽必備 不論麻將或爐石  01/28 03:56
